,horizon,mse,rmse,mae,mdape,smape,coverage
101,284 days,3.021471468895349,1.7382380357406026,0.8450705387285864,0.023270483590013144,0.032559653587260894,0.8
102,285 days,3.02002863681562,1.7378229589965775,0.8448064342027367,0.023294477156910975,0.03255536681647452,0.8004566210045662
103,286 days,3.0141203826500376,1.7361222257231883,0.8426340730772943,0.023294477156910975,0.03248309926007145,0.8013698630136986
104,287 days,3.0103698928754863,1.7350417553694453,0.8417577016647744,0.023294477156910975,0.032459075202440055,0.8022831050228311
105,288 days,3.008785506423439,1.7345851107464973,0.8409203326158854,0.023340762738986384,0.032437205937532805,0.8031963470319635
106,289 days,2.9947550106512035,1.7305360471978628,0.8391253472356269,0.023418259552860674,0.03237732192252942,0.8041095890410959
107,290 days,2.98010374453942,1.7262976987007252,0.8368689886141901,0.023340762738986384,0.032297592573788024,0.8045662100456621
108,291 days,2.979820892490427,1.7262157722864273,0.837356661243703,0.023340762738986384,0.03232108810834476,0.8050228310502283
109,292 days,2.9804533027455897,1.7263989407855849,0.8377913590453456,0.023294477156910975,0.03234450868351246,0.8045662100456621
110,293 days,2.981287403216689,1.7266404962286415,0.837810164610703,0.023270483590013144,0.03235223673542874,0.8045662100456621
111,294 days,2.980541241467317,1.7264244094275651,0.8370213462890322,0.02326487974244484,0.032330222725451684,0.8045662100456621
112,295 days,2.97919795347925,1.7260353279928107,0.8360979135699858,0.023147887296828696,0.03230555200308941,0.8050228310502283
113,296 days,2.979460976885815,1.7261115192494993,0.8366710303160676,0.023168333464087473,0.032335420699758394,0.8059360730593608
114,297 days,2.981237390245012,1.7266260134276363,0.837623592181619,0.023168333464087473,0.03237723875966173,0.8059360730593608
115,298 days,2.9816558064795786,1.7267471750315906,0.8382233084521951,0.023168333464087473,0.03240534368203079,0.806392694063927
116,299 days,2.982124447588786,1.7268828702575012,0.8390332756380044,0.023270483590013144,0.03244085475297535,0.806392694063927
117,300 days,2.9820671596902115,1.7268662830949626,0.8391617372374641,0.02326487974244484,0.032453834172179355,0.806392694063927
118,301 days,2.979916490697187,1.726243462173626,0.8377469873589435,0.02326487974244484,0.03241251221949183,0.8068493150684931
119,302 days,2.97773388709178,1.7256111633539521,0.8367409591188201,0.02303620584510337,0.03238665443806225,0.8077625570776256
120,303 days,2.9773097298622226,1.7254882583959308,0.8362099425598732,0.02303620584510337,0.03237581015540141,0.8082191780821918
121,304 days,2.982323263254773,1.7269404341941772,0.8389934897303382,0.02326487974244484,0.03248500683548131,0.8073059360730593
122,305 days,2.983483070283087,1.7272761997674508,0.8400711149283193,0.023529705549755,0.03253302576056662,0.8077625570776256
123,306 days,2.983103836135423,1.7271664181935171,0.8399354969265177,0.023529705549755,0.03253820055541026,0.808675799086758
124,307 days,2.982397619629309,1.7269619624153014,0.840128345378778,0.02353481531378929,0.03255723912009537,0.8095890410958904
125,308 days,2.982200660541057,1.7269049367411795,0.8400463219151687,0.02353481531378929,0.03256706994152961,0.8105022831050228
126,309 days,2.9831197196298604,1.7271710163240526,0.8404593366785644,0.023641745835574213,0.03259378268921649,0.8114155251141553
127,310 days,2.9844578911181863,1.7275583611323198,0.8413814652307611,0.023656211587034518,0.0326361617882842,0.8118721461187215
128,311 days,2.985337068108785,1.7278127989191379,0.8419733468472921,0.023688076191997202,0.03266667160680389,0.8123287671232877
129,312 days,2.9865605883878197,1.7281668288645688,0.8424280102468552,0.02378371384429669,0.03269451037055329,0.8132420091324201
130,313 days,2.986859272017327,1.7282532430223665,0.8423842368143415,0.02378371384429669,0.03270262761452749,0.8136986301369863
131,314 days,2.9868255084320863,1.7282434748703916,0.84235456640642,0.02378371384429669,0.0327125964725126,0.8136986301369863
132,315 days,2.9874361690187814,1.7284201367198837,0.8426374809428536,0.023829999577245995,0.03273532476382477,0.8136986301369863
133,316 days,2.9913315238947,1.729546623799052,0.8445074444957458,0.023856169457287506,0.03281819168614162,0.8132420091324201
134,317 days,2.9886060878415233,1.7287585394847724,0.8436179743508255,0.023829999577245995,0.03280116344292235,0.8141552511415525
135,318 days,2.98499695676669,1.7277143736065548,0.842009414811955,0.02378371384429669,0.032755927757415156,0.815068493150685
136,319 days,2.9828257262795588,1.7270859058771681,0.8408620960940151,0.023688076191997202,0.03272711016174097,0.8159817351598173
137,320 days,3.009005893742729,1.734648636970245,0.8433916964492676,0.023688076191997202,0.032854493333449517,0.8164383561643835
138,321 days,3.0055674909100536,1.733657258776963,0.8418421478272725,0.023641745835574213,0.03281053845700569,0.8182648401826484
139,322 days,3.0030861295302995,1.7329414674276507,0.8399645989690967,0.0236025108129231,0.032754351345904334,0.819634703196347
140,323 days,2.9995735682895464,1.7319277029626687,0.8374683307381562,0.023340762738986384,0.03267630738810805,0.8205479452054795
141,324 days,2.998101435229369,1.7315026523887769,0.8357523700270687,0.023168333464087473,0.032629115980983205,0.8205479452054795
142,325 days,2.9968145590365403,1.7311310057406228,0.8348530862604465,0.02326487974244484,0.0326062916774066,0.8210045662100457
143,326 days,2.995797393249952,1.7308371943224332,0.8337506887044729,0.02301407789051263,0.03257523419470635,0.8214611872146119
144,327 days,2.9940151674609745,1.7303222727171301,0.8325578424634855,0.02301407789051263,0.03254338588075577,0.8223744292237443
145,328 days,2.994777062945562,1.7305424187073724,0.8319236532998339,0.022998198880382386,0.03253369732242272,0.8223744292237443
146,329 days,2.9933647691311442,1.7301343211239826,0.8312321462536058,0.022999982977080415,0.03252399897922562,0.8237442922374429
147,330 days,2.9896182227459978,1.729051249311598,0.8288278592035921,0.022855137145563004,0.032449662894090736,0.8251141552511415
148,331 days,2.9850857515966873,1.7277400706115162,0.8267040800102559,0.022792957347156483,0.03238666403524507,0.8264840182648402
149,332 days,2.98169000763452,1.7267570783507795,0.8254244658081389,0.022792957347156483,0.03235940140254304,0.828310502283105
150,333 days,2.974463616869091,1.7246633343551694,0.8224183402109017,0.022751285448113303,0.03227014434820071,0.8305936073059361
151,334 days,2.967106508994824,1.7225291025102665,0.8195758789096067,0.022666230015460215,0.03218699216974253,0.8328767123287671
152,335 days,2.9615952434393713,1.7209285991694634,0.816979687088003,0.022605113381794457,0.03210844031304153,0.8351598173515982
153,336 days,2.9619951597239895,1.7210447872510435,0.8171022966793311,0.022610736841403873,0.03213280427289315,0.836986301369863
154,337 days,2.9581248852620035,1.7199200229260672,0.8147192388164207,0.022605113381794457,0.03205866313105515,0.8388127853881279
155,338 days,2.9603400594608154,1.720563878343613,0.8155110214411218,0.022605113381794457,0.032099937892447576,0.8383561643835616
156,339 days,2.964012390292264,1.7216307357538272,0.8159704281194078,0.02259759860443765,0.03213323834375744,0.8383561643835616
157,340 days,2.9696072498179755,1.723254841808946,0.8156209263316239,0.022592667669352567,0.03214670199344338,0.8401826484018264
158,341 days,2.9721456636810526,1.7239912017411958,0.8162336087064032,0.022605113381794457,0.032189576418566714,0.8415525114155251
159,342 days,2.97066442059115,1.7235615511466802,0.8149222234585497,0.022385151202521297,0.03215378821393787,0.8433789954337899
160,343 days,2.967529417808797,1.7226518562404876,0.8128699690640043,0.022318787959632946,0.03209188832019013,0.8447488584474886
161,344 days,2.9627949937837714,1.7212771403187144,0.8108028731285291,0.022385151202521297,0.032029027660472206,0.8470319634703196
162,345 days,2.9619257352944324,1.7210246178641468,0.8109099031038557,0.02259759860443765,0.03204805573937338,0.8488584474885845
163,346 days,2.958437413975133,1.7200108761211752,0.8096141835720022,0.02259759860443765,0.03201859873378856,0.8515981735159818
164,347 days,2.9516918581554417,1.718048852086413,0.8064860131486071,0.022318787959632946,0.03192409361569173,0.8547945205479452
165,348 days,2.94837671784765,1.7170837830017642,0.8044180887730286,0.022297140371618833,0.031868243951202684,0.8570776255707763
166,349 days,2.9574236206629307,1.7197161453748495,0.8064963503269337,0.022295452996918565,0.03197072797590722,0.8584474885844748
167,350 days,2.969521568661598,1.723229981361048,0.8099721341269642,0.022074148269266985,0.03212772875028268,0.8575342465753425
168,351 days,2.971539529675395,1.7238153989552927,0.8104303257496338,0.022295452996918565,0.03216529452303267,0.8584474885844748
169,352 days,2.969178429821436,1.7231304157902374,0.8088418787648285,0.022074148269266985,0.03211957198807312,0.8598173515981735
170,353 days,2.9668754965669324,1.7224620450294201,0.8073669152161265,0.02202983597370732,0.032075659530655574,0.860730593607306
171,354 days,2.9669606088323492,1.7224867514243323,0.8070293241430501,0.022013375852796897,0.03207656887166283,0.8616438356164383
172,355 days,2.965525150769625,1.72207001912513,0.806107330723718,0.021991060113675673,0.032056987043095245,0.863013698630137
173,356 days,2.964174857372426,1.7216779191743228,0.8052435589392077,0.022013375852796897,0.03204153298147591,0.8648401826484018
174,357 days,2.962041138701042,1.7210581450668778,0.8039819902575247,0.021991060113675673,0.032008252691723194,0.8657534246575342
175,358 days,2.9591642805037983,1.7202221602176269,0.8022696040508924,0.021958246381348932,0.03195704238443994,0.8666666666666667
176,359 days,2.958188980004838,1.719938655884226,0.8015259995409526,0.021889722901858824,0.03194162722807277,0.867579908675799
177,360 days,2.958308694735634,1.71997345756719,0.8012695905545535,0.021749857596579502,0.03194088080180665,0.867579908675799
178,361 days,2.9601283650272454,1.7205023583323695,0.8024372816661092,0.021958246381348932,0.0319933382174565,0.867579908675799
179,362 days,2.9661973929880765,1.7222651924102967,0.8049993622275564,0.02202983597370732,0.032103418266290124,0.8662100456621005
180,363 days,2.966342688531729,1.722307373418499,0.8058116349449257,0.02202983597370732,0.03214724018323897,0.8662100456621005
181,364 days,2.9720879121049357,1.7239744522773346,0.8077906698750934,0.022297140371618833,0.032239977859712964,0.8662100456621005
182,365 days,2.9743483189635613,1.7246299078247371,0.8095003015838406,0.022592667669352567,0.032315944302871095,0.8657534246575342
183,366 days,2.9736271607890137,1.7244208189386412,0.8092973443449861,0.022605113381794457,0.03231783336771329,0.8662100456621005
184,367 days,2.97301646202058,1.7242437362567336,0.809125924342552,0.022592667669352567,0.032319935770580094,0.8666666666666667
185,368 days,2.972670302367783,1.7241433531953725,0.8088235821139893,0.022592667669352567,0.03231388909720897,0.8666666666666667
186,369 days,2.97297231174723,1.7242309334155996,0.80907776105749,0.022592667669352567,0.03233105366772655,0.8671232876712329
187,370 days,2.970541624315452,1.7235259279498676,0.8086237657028772,0.02259759860443765,0.03232428597149274,0.8680365296803653
188,371 days,2.9681687277109665,1.7228374060575091,0.808135958734424,0.022605113381794457,0.032316268301559745,0.8689497716894977
189,372 days,2.968474478230742,1.722926138356123,0.8090713414242361,0.022666230015460215,0.03236502828727906,0.8703196347031964
190,373 days,2.9695471673438645,1.7232374088743154,0.8094154026977021,0.02263695404410626,0.0323953894807554,0.871689497716895
191,374 days,2.972632275815888,1.7241323254947365,0.8101958186662328,0.022610736841403873,0.03244270113897782,0.8726027397260274
192,375 days,2.9698198374963525,1.7233165227248164,0.8090035906418079,0.022666230015460215,0.032416065471151355,0.8753424657534247
193,376 days,2.9699240170111967,1.723346748919438,0.8086952045504953,0.02263695404410626,0.03242046132743211,0.8767123287671232
194,377 days,2.967642264282106,1.722684609637558,0.8071229399121896,0.022592667669352567,0.032374167395443444,0.8776255707762557
195,378 days,2.9634261879598265,1.721460481091514,0.8046411682309096,0.022318787959632946,0.0322944241317,0.8780821917808219
196,379 days,2.9581903055073457,1.7199390412184223,0.8016373968123958,0.022295452996918565,0.03219540692025312,0.8794520547945206
197,380 days,2.9573477657245966,1.7196940907395701,0.8017592354983678,0.022297140371618833,0.03221637297727124,0.8808219178082192
198,381 days,2.961422173457185,1.7208783145409163,0.8034341594898687,0.022318787959632946,0.03230002025016995,0.8794520547945206
199,382 days,2.9589801745352338,1.7201686471201694,0.802790983458823,0.022297140371618833,0.0322909041448041,0.8803652968036529
200,383 days,2.957155862315645,1.7196382940361745,0.8016817885748129,0.022297140371618833,0.032257934321339374,0.8812785388127854
201,384 days,2.960427049260291,1.7205891576027936,0.8031711652742128,0.022297140371618833,0.03232143305115362,0.8803652968036529
202,385 days,2.9640884096743503,1.721652813337913,0.8040579704941696,0.022297140371618833,0.03236350112919947,0.8794520547945206
203,386 days,2.9700027915905576,1.723369603883786,0.8059006115737756,0.022297140371618833,0.03244625272413142,0.8789954337899544
204,387 days,2.9680448421202277,1.7228014517408057,0.8048591567869567,0.022297140371618833,0.03241874337527143,0.8799086757990867
205,388 days,2.966236340059747,1.7222764993054243,0.8042469500401203,0.022294155636823333,0.03240636693938035,0.8808219178082192
206,389 days,2.965344433133253,1.722017547277975,0.804068139707856,0.022294155636823333,0.0324080669099702,0.8817351598173516
207,390 days,2.966676254990713,1.7224042077836181,0.8050095666407463,0.022295452996918565,0.03245306193800576,0.882648401826484
208,391 days,2.6221169990072664,1.6192952167555077,0.7943849334495667,0.022295452996918565,0.0316266251448693,0.8817351598173516
209,392 days,1.9279557352824161,1.3885084570438944,0.7714658661662396,0.022295452996918565,0.029897992645666158,0.882648401826484
210,393 days,1.2316714604663974,1.1098069473860745,0.7469693780940059,0.022297140371618833,0.028108542837834895,0.8844748858447489
211,394 days,0.8844024203225004,0.940426722463,0.7351468135408804,0.022295452996918565,0.02723889908401125,0.8863013698630137
212,395 days,0.8863339468391112,0.9414531038979643,0.7363177450763924,0.022297140371618833,0.027293388480744758,0.8872146118721461
213,396 days,0.8891529533300649,0.9429490725007713,0.7375014946360896,0.022295452996918565,0.027352757605679255,0.8876712328767123
214,397 days,0.887947127849571,0.9423094650111348,0.7363155434027798,0.022295452996918565,0.027321871663765176,0.8885844748858448
215,398 days,0.8919933776860194,0.9444540103604936,0.7378021764152365,0.022297140371618833,0.027389272076836117,0.8890410958904109
216,399 days,0.895409968513185,0.9462610467060266,0.7397004832902854,0.022297140371618833,0.027470723449351638,0.8904109589041096
217,400 days,0.8923943343250089,0.9446662555236156,0.7378607423857996,0.022295452996918565,0.02741252387353172,0.8917808219178082
